id,priority,severity,dimension,category,confidence,impact,effort,effort_label,quadrant,points_at_stake,title,evidence,why,suggested_action,action_priority,affected_pages
F-001,1,high,discoverability,structured-data,high,4,3,Medium,major_project,11,No structured data anywhere in the sampled pages,"0 of 10 sampled pages contain JSON-LD, microdata, or RDFa.","With no machine-readable markup, an assistant must infer every fact (who the brand is, what it sells, prices, dates) from prose — error-prone and rarely quoted with confidence.","Add schema.org JSON-LD to key templates: Organization + WebSite on the homepage, and the page-appropriate type (Product/Offer, Article, FAQPage, LocalBusiness, BreadcrumbList) elsewhere. This is the highest-leverage discoverability fix.",high,
F-002,2,high,discoverability,structured-data,high,4,4,High,major_project,11,Product-like pages missing Product/Offer schema,"7 of 10 page(s) (70%) look like product pages (cart/price cues) but have no Product JSON-LD, e.g. https://www.smashingmagazine.com/ebook-bundles/smashing-library/.","Without Product/Offer markup an assistant cannot reliably read price, availability, or rating, so the brand is left out of shopping-style answers where those facts are required.","Add Product JSON-LD with name, image, description, brand, and an Offer (price, priceCurrency, availability) to every product page.",high,https://www.smashingmagazine.com/ebook-bundles/smashing-library/ | https://www.smashingmagazine.com/ebook-bundles/accessibility-ebook-bundle-3-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/business-ebook-bundle-8-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/content-strategy-ebook-bundle-3-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/front-end-ebook-bundle-4-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/ux-ebook-bundle-12-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/web-design-ebook-bundle-10-ebooks/
F-003,3,medium,discoverability,structured-data,high,3,3,Medium,major_project,5,Article/blog pages missing Article schema,"1 of 10 page(s) (10%) look like articles but lack Article/BlogPosting JSON-LD, e.g. https://www.smashingmagazine.com/articles/.","Without Article markup an assistant cannot reliably attribute the piece to an author or date it, so it is trusted and cited less for topical questions.","Add Article/BlogPosting JSON-LD with headline, author, datePublished, and dateModified so assistants can attribute and date the content.",medium,https://www.smashingmagazine.com/articles/
F-004,4,medium,discoverability,entity-identity,high,3,2,Low,quick_win,5,Homepage lacks Organization/WebSite structured data,"Homepage (https://www.smashingmagazine.com/) has no Organization, LocalBusiness, or WebSite JSON-LD; detected types: none.","Without an Organization/WebSite node, an assistant has no stable, machine-readable identity for the brand and cannot confidently attribute facts or citations to it.","Add an Organization (or LocalBusiness) node with name, url, logo, and sameAs, plus a WebSite node with name and optional SearchAction. This gives assistants a stable, unambiguous identity for the brand.",high,
F-005,5,medium,discoverability,extractability,high,3,2,Low,quick_win,5,Pages missing an H1 heading,"1 of 10 page(s) (10%) have no H1, e.g. https://www.smashingmagazine.com/articles/.",The H1 is the primary topic anchor a machine uses to decide what a page is about; without it the page's subject must be guessed from weaker signals.,Add exactly one descriptive H1 per page stating what the page is about in plain words.,medium,https://www.smashingmagazine.com/articles/
F-006,6,medium,engagement,performance,low,2,4,High,low_priority,2,Slow server response on sampled pages,4 of 10 page(s) (40%) took over 3s to return HTML in this run (e.g. https://www.smashingmagazine.com/ebook-bundles/content-strategy-ebook-bundle-3-ebooks/: 47469 ms). Single-sample timing — confirm with a repeat measurement.,"A slow first byte (TTFB) delays everything downstream, so the page starts rendering late and visitors abandon before it appears.","Investigate TTFB (caching, CDN, server work); confirm the slowness is consistent before prioritizing.",medium,https://www.smashingmagazine.com/ | https://www.smashingmagazine.com/ebook-bundles/smashing-library/ | https://www.smashingmagazine.com/ebook-bundles/content-strategy-ebook-bundle-3-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/web-design-ebook-bundle-10-ebooks/
F-007,7,low,discoverability,extractability,medium,2,2,Low,fill_in,1,Heading hierarchy skips levels,"10 of 10 page(s) (100%) jump heading levels (e.g. H1→H3 with no H2), e.g. https://www.smashingmagazine.com/.","A machine reconstructs a page's outline from heading levels; skipped levels break that nesting, so the relationship between sections is ambiguous.",Nest headings in order (no H1→H3 jumps) so the document outline is unambiguous.,low,https://www.smashingmagazine.com/ | https://www.smashingmagazine.com/ebook-bundles/smashing-library/ | https://www.smashingmagazine.com/ebook-bundles/accessibility-ebook-bundle-3-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/business-ebook-bundle-8-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/content-strategy-ebook-bundle-3-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/front-end-ebook-bundle-4-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/ux-ebook-bundle-12-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/web-design-ebook-bundle-10-ebooks/ | https://www.smashingmagazine.com/articles/ | https://www.smashingmagazine.com/author/cosima-mielke/
F-008,8,low,discoverability,extractability,medium,2,2,Low,fill_in,1,Meta descriptions likely to be truncated,"7 of 10 page(s) (70%) have a meta description longer than 160 characters, e.g. https://www.smashingmagazine.com/ebook-bundles/smashing-library/ (434 chars).","Over-long descriptions are cut off, so the most important summary sentence may never be shown or quoted.","Keep meta descriptions under ~160 characters, key fact first.",low,https://www.smashingmagazine.com/ebook-bundles/smashing-library/ | https://www.smashingmagazine.com/ebook-bundles/accessibility-ebook-bundle-3-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/business-ebook-bundle-8-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/content-strategy-ebook-bundle-3-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/front-end-ebook-bundle-4-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/ux-ebook-bundle-12-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/web-design-ebook-bundle-10-ebooks/
F-009,9,low,discoverability,extractability,medium,2,2,Low,fill_in,1,Substantial content offloaded to PDF files,3 PDF link(s) found across sampled pages.,"Scanned or image-only PDFs are frequently unreadable to crawlers, so any key information that lives only inside them cannot be extracted or cited.","Publish the key information as HTML pages (the PDF can remain as a download). Ensure any essential PDFs contain real, selectable text, not scans.",low,
F-010,10,low,discoverability,extractability,medium,2,2,Low,fill_in,1,Title tags outside the useful length range,"8 of 10 page(s) (80%) have a <title> shorter than 15 or longer than 65 characters, e.g. https://www.smashingmagazine.com/ (75 chars).","Very short titles under-describe the page while very long ones get truncated in results and answers, so the specific topic is lost either way.",Keep titles roughly 15–65 characters and topic-first.,low,https://www.smashingmagazine.com/ | https://www.smashingmagazine.com/ebook-bundles/smashing-library/ | https://www.smashingmagazine.com/ebook-bundles/accessibility-ebook-bundle-3-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/business-ebook-bundle-8-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/content-strategy-ebook-bundle-3-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/front-end-ebook-bundle-4-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/ux-ebook-bundle-12-ebooks/ | https://www.smashingmagazine.com/ebook-bundles/web-design-ebook-bundle-10-ebooks/
